"INTERVAL","ELAPSED","TIMESTAMP","TRANSACTIONS","THROUGHPUT","LATENCY","EVICTING","LATENCY_50","LATENCY_95","LATENCY_99"
"26","27000","1434031082337","6960","6960.0","206.83005395112662","0","5.0","1233.699999999999","4615.919999999998"
"27","28000","1434031083336","7644","7644.0","221.98290229885058","0","5.0","1625.550000000002","4499.41"
"28","29000","1434031084336","7714","7714.0","175.34707602339182","0","4.0","1068.4500000000016","4363.709999999996"
"29","30000","1434031085337","7506","7506.0","171.1948032442175","0","4.0","1044.8999999999905","3967.2100000000137"
"30","31000","1434031086336","7054","7054.0","229.29782270606532","0","5.0","1674.6500000000005","4431.620000000001"
"31","32000","1434031087337","7911","7911.0","181.00345829298658","0","5.0","873.2000000000007","4234.880000000014"
"32","33000","1434031088338","7708","7708.0","206.32202423378476","0","4.0","1133.4000000000015","4469.0"
"33","34000","1434031089336","7568","7568.0","192.37626373626372","0","4.0","1452.2000000000007","4140.880000000008"
"34","35000","1434031090337","7526","7526.0","154.49835378629152","0","4.0","662.0999999999967","4434.379999999999"
"35","36000","1434031091336","7246","7246.0","159.45340557275543","0","4.0","809.6000000000058","4086.869999999999"
"36","37000","1434031092336","7224","7224.0","250.90459309494452","0","5.0","1843.8499999999967","4802.470000000002"
"37","38000","1434031093337","7562","7562.0","239.67472527472526","0","5.0","1295.4000000000005","4745.800000000001"
"38","39000","1434031094336","7705","7705.0","172.27470156766864","0","4.0","783.5999999999967","4241.719999999994"
"39","40000","1434031095336","8006","8006.0","186.88430667035703","0","5.0","1349.25","3989.0"
"40","41000","1434031096337","7470","7470.0","196.64044778317867","0","5.0","1252.8000000000175","4054.9999999999973"
"41","42000","1434031097336","7758","7758.0","178.89730113636364","0","5.0","824.1000000000004","4597.219999999999"
"42","43000","1434031098336","7550","7550.0","221.29675334214778","0","5.0","1533.0999999999995","4708.459999999996"
"43","44000","1434031099336","8093","8093.0","184.2562311695426","0","4.0","904.8999999999996","4384.99"
"44","45000","1434031100336","7963","7963.0","166.42230473047306","0","4.0","801.3499999999958","4268.58"
"45","46000","1434031101336","7491","7491.0","195.17928812069724","0","4.0","1425.0999999999995","3993.2399999999943"
"46","47000","1434031102336","7651","7651.0","172.60043352601156","0","4.0","976.1000000000004","4454.820000000009"
"47","48000","1434031103336","7637","7637.0","224.5868613138686","0","4.0","1631.0","4632.550000000001"
"48","49000","1434031104335","7633","7633.0","207.54756748953372","0","5.0","1329.7999999999902","4333.399999999998"
"49","50000","1434031105336","7470","7470.0","185.68483866214822","0","4.0","1029.6999999999998","4345.0"
"50","51000","1434031106335","1685","1685.0","295.7620320855615","0","4.0","2165.75","3971.1"
"51","52000","1434031107336","7813","7813.0","220.60960363688025","0","5.0","1729.6000000000022","5074.979999999997"
"52","53000","1434031108337","6988","6988.0","223.74415319416104","0","5.0","1123.0","5451.3"
"53","54000","1434031109336","7605","7605.0","181.69421128798842","0","4.0","541.0","5293.649999999998"
"54","55000","1434031110336","7251","7251.0","176.48193508879362","0","4.0","514.0","5170.69"
"55","56000","1434031111336","7579","7579.0","218.6259387637204","0","4.0","1250.550000000001","4808.080000000002"
"56","57000","1434031112336","7592","7592.0","165.8452191523217","0","4.0","641.0","4459.76"
"57","58000","1434031113337","7325","7325.0","153.37317518248176","0","4.0","880.0","4348.0"
"58","59000","1434031114336","7502","7502.0","196.10714285714286","0","4.0","936.0","5325.910000000001"
"59","60000","1434031115335","7391","7391.0","188.59404761904761","0","5.0","808.3000000000011","5120.25000000001"
