"INTERVAL","ELAPSED","TIMESTAMP","TRANSACTIONS","THROUGHPUT","LATENCY","EVICTING","LATENCY_50","LATENCY_95","LATENCY_99"
"115","116000","1446027105697","214","214.0","6535.1461538461535","0","6519.5","6635.0","6642.26"
"116","117000","1446027106698","93","93.0","6990.11475409836","0","6940.0","7183.0","7186.2"
"117","118000","1446027107702","310","310.0","7329.148936170212","0","7323.5","7462.6","7480.52"
"118","119000","1446027108697","243","243.0","7642.344594594595","0","7627.0","7867.95","7879.12"
"119","120000","1446027109697","414","414.0","7550.704980842912","0","7527.0","7867.0","7880.4"
"120","121000","1446027110698","257","257.0","7495.070588235294","0","7496.5","7557.1","7577.31"
"121","122000","1446027111697","0","0.0","NaN","0","NaN","NaN","NaN"
"122","123000","1446027112698","1","1.0","NaN","0","NaN","NaN","NaN"
"123","124000","1446027113698","0","0.0","NaN","0","NaN","NaN","NaN"
"124","125000","1446027114698","99","99.0","11580.652777777777","0","11576.5","11704.45","11706.0"
"125","126000","1446027115698","483","483.0","11355.927215189873","0","11421.0","11552.25","11561.0"
"126","127000","1446027116699","190","190.0","10772.676923076922","0","10697.0","11210.0","11215.55"
"127","128000","1446027117709","299","299.0","10837.300518134714","0","10791.0","11698.2","11721.08"
"128","129000","1446027118706","444","444.0","10219.366906474821","0","10186.5","10555.15","10564.69"
"129","130000","1446027119697","499","499.0","9254.200668896321","0","9625.0","9865.0","9930.02"
"130","131000","1446027120698","261","261.0","4686.1945945945945","0","4913.0","5073.8","5084.32"
"131","132000","1446027121697","150","150.0","5999.457142857143","0","6019.5","6076.0","6087.0"
"132","133000","1446027122698","393","393.0","5215.070422535211","0","4972.0","6005.4","6012.64"
"133","134000","1446027123697","339","339.0","5008.947643979058","0","5049.0","5170.0","5180.0"
"134","135000","1446027124697","302","302.0","5239.551020408163","0","5280.5","5365.8","5480.0"
"135","136000","1446027125697","312","312.0","5516.930232558139","0","5600.0","5958.0","5964.16"
"136","137000","1446027126698","282","282.0","5841.3","0","6099.0","6175.1","6191.82"
"137","138000","1446027127698","296","296.0","5694.5375","0","5741.5","5770.25","5782.84"
"138","139000","1446027128698","239","239.0","5936.640449438202","0","5935.0","6258.6","6267.0"
"139","140000","1446027129698","368","368.0","6193.474358974359","0","6246.0","6330.5","6339.0"
"140","141000","1446027130698","255","255.0","6315.103174603175","0","6321.0","6541.0","6592.5"
"141","142000","1446027131697","307","307.0","6431.147887323944","0","6356.0","6635.85","6707.59"
"142","143000","1446027132698","253","253.0","6354.4296875","0","6322.5","6608.25","6621.0"
"143","144000","1446027133698","346","346.0","6502.378698224852","0","6458.0","6877.8","6943.96"
"144","145000","1446027134698","213","213.0","6276.867256637168","0","6273.0","6468.4","6496.88"
"145","146000","1446027135697","283","283.0","6306.696721311476","0","6281.0","6504.6","6535.0"
"146","147000","1446027136698","231","231.0","6327.273504273504","0","6305.0","6480.0","6509.68"
"147","148000","1446027137697","230","230.0","6677.554455445545","0","6678.0","6839.0","6871.0"
"148","149000","1446027138698","292","292.0","6768.825","0","6764.0","6911.15","6918.81"
"149","150000","1446027139697","260","260.0","7002.0327868852455","0","7010.0","7160.0","7169.0"
"150","151000","1446027140697","303","303.0","6767.825503355704","0","6753.0","6963.0","6976.08"
"151","152000","1446027141698","224","224.0","7128.036585365854","0","7120.5","7252.45","7349.69"
"152","153000","1446027142700","244","244.0","7071.844660194175","0","7080.0","7183.9","7210.82"
"153","154000","1446027143698","317","317.0","7304.275862068966","0","7341.0","7410.6","7429.0"
"154","155000","1446027144698","285","285.0","6885.637037037037","0","6886.0","7040.6","7091.98"
"155","156000","1446027145697","276","276.0","6885.424242424242","0","6887.5","6996.45","7009.0"
"156","157000","1446027146698","229","229.0","6753.92380952381","0","6683.0","7032.0","7039.96"
"157","158000","1446027147698","299","299.0","7065.2692307692305","0","7087.0","7141.25","7171.9"
"158","159000","1446027148698","224","224.0","6915.656565656565","0","6920.0","7055.6","7069.18"
"159","160000","1446027149697","329","329.0","6724.850574712644","0","6798.5","6956.0","6978.27"
